"Name","Abbreviation"
"Anaheim Ducks","ANA"
"Arizona Coyotes","ARI"
"Atlanta Flames","ATF"
"Atlanta Thrashers","ATL"
"Boston Bruins","BOS"
"Buffalo Sabres","BUF"
"Carolina Hurricanes","CAR"
"Chicago Blackhawks","CBH"
"Columbus Blue Jackets","CBJ"
"Calgary Flames","CGY"
"Chicago Blackhawks","CHI"
"Colorado Rockies","CLR"
"Colorado Avalanche","COL"
"Dallas Stars","DAL"
"Detroit Red Wings","DET"
"Edmonton Oilers","EDM"
"Florida Panthers","FLA"
"Hartford Whalers","HAR"
"Los Angeles Kings","LAK"
"Mighty Ducks of Anaheim","MDA"
"Minnesota Wild","MIN"
"Minnesota North Stars","MNS"
"Montreal Canadiens","MTL"
"New Jersey Devils","NJD"
"Nashville Predators","NSH"
"New York Islanders","NYI"
"New York Rangers","NYR"
"Ottawa Senators","OTT"
"Philadelphia Flyers","PHI"
"Phoenix Coyotes","PHX"
"Pittsburgh Penguins","PIT"
"Quebec Nordiques","QUE"
"Seattle Kraken","SEA"
"San Jose Sharks","SJS"
"St. Louis Blues","STL"
"Tampa Bay Lightning","TBL"
"Toronto Maple Leafs","TOR"
"Utah Hockey Club","UTA"
"Vancouver Canucks","VAN"
"Vegas Golden Knights","VEG"
"Winnipeg Jets","WIN"
"Winnipeg Jets","WPG"
"Washington Capitals","WSH"
