"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","HomeAway","Result","ENG","PS"
"2022-04-12","WSH","PHI",36,"Conor Sheary","Evgeny Kuznetsov","Carter Hart","1","06:01:00","EV","Capital One Arena","H","W",0,0
"2022-04-10","WSH","BOS",36,"Evgeny Kuznetsov","John Carlson",NA,"3","19:58:00","EV","Capital One Arena","H","W",1,0
"2022-04-09","WSH","PIT",36,"John Carlson","Nicklas Backstrom","Tristan Jarry","2","04:49:00","PP","PPG Paints Arena","A","W",0,0
"2022-04-06","WSH","TBL",36,"John Carlson","Evgeny Kuznetsov","Andrei Vasilevskiy","1","15:10:00","EV","Capital One Arena","H","W",0,0
"2022-03-26","WSH","NJD",36,"Evgeny Kuznetsov","Nicklas Backstrom","Nico Daws","3","11:48:00","PP","Capital One Arena","H","W",0,0
"2022-03-25","WSH","BUF",36,"Evgeny Kuznetsov",NA,"Dustin Tokarski","2","16:47:00","EV","KeyBank Center","A","SOW",0,0
"2022-03-20","WSH","DAL",36,"John Carlson","Evgeny Kuznetsov","Jake Oettinger","2","04:53:00","PP","Capital One Arena","H","L",0,0
"2022-03-18","WSH","CAR",36,"Nicklas Backstrom",NA,"Antti Raanta","3","14:56:00","PP","PNC Arena","A","SOW",0,0
"2022-03-17","WSH","CBJ",36,"Conor Sheary","Tom Wilson","Elvis Merzlikins","2","10:44:00","PP","Nationwide Arena","A","W",0,0
"2022-03-15","WSH","NYI",36,"Evgeny Kuznetsov",NA,"Semyon Varlamov","3","15:02:00","EV","Capital One Arena","H","SOW",0,0
"2022-03-08","WSH","CGY",36,"Tom Wilson","Nick Jensen",NA,"3","18:12:00","EV","Scotiabank Saddledome","A","W",1,0
"2022-03-08","WSH","CGY",36,"Evgeny Kuznetsov",NA,"Daniel Vladar","2","13:23:00","EV","Scotiabank Saddledome","A","W",0,0
"2022-03-05","WSH","SEA",36,"John Carlson","Nicklas Backstrom","Chris Driedger","3","00:47:00","PP","Capital One Arena","H","W",0,0
"2022-03-03","WSH","CAR",36,"John Carlson","T.J. Oshie","Frederik Andersen","2","15:05:00","PP","Capital One Arena","H","W",0,0
"2022-02-24","WSH","NYR",36,"Evgeny Kuznetsov",NA,"Igor Shesterkin","3","18:58:00","EV","Madison Square Garden (IV)","A","L",0,0
"2022-02-15","WSH","NSH",36,"John Carlson","Tom Wilson","Juuse Saros","3","04:33:00","PP","Bridgestone Arena","A","W",0,0
"2022-02-15","WSH","NSH",36,NA,NA,NA,"3","18:37:00","EV","Bridgestone Arena","A","W",1,0
"2022-01-22","WSH","OTT",36,"Nicklas Backstrom",NA,"Matt Murray","3","09:43:00","EV","Capital One Arena","H","OTW",0,0
"2022-01-22","WSH","OTT",36,"Trevor van Riemsdyk","Evgeny Kuznetsov","Matt Murray","3","01:39:00","EV","Capital One Arena","H","OTW",0,0
"2022-01-18","WSH","WPG",36,"Garnet Hathaway",NA,"Connor Hellebuyck","1","16:58:00","EV","Capital One Arena","H","OTW",0,0
"2022-01-16","WSH","VAN",36,"Justin Schultz","Evgeny Kuznetsov","Thatcher Demko","1","10:31:00","PP","Capital One Arena","H","L",0,0
"2022-01-15","WSH","NYI",36,"Evgeny Kuznetsov","Nicklas Backstrom",NA,"3","19:49:00","EV","UBS Arena","A","W",1,0
"2021-12-31","WSH","DET",36,"Evgeny Kuznetsov","Nicklas Backstrom","Thomas Greiss","3","17:09:00","PP","Little Caesars Arena","A","W",0,0
"2021-12-31","WSH","DET",36,"Garnet Hathaway","John Carlson",NA,"3","19:19:00","EV","Little Caesars Arena","A","W",1,0
"2021-12-17","WSH","WPG",36,"Daniel Sprong","John Carlson",NA,"3","19:09:00","EV","Canada Life Centre","A","W",1,0
"2021-12-15","WSH","CHI",36,"T.J. Oshie","Nicklas Backstrom","Marc-Andre Fleury","2","03:36:00","PP","United Center","A","OTL",0,0
"2021-12-04","WSH","CBJ",36,"John Carlson",NA,"Daniil Tarasov","2","03:12:00","EV","Capital One Arena","H","W",0,0
"2021-11-28","WSH","CAR",36,"Dmitry Orlov","Tom Wilson","Frederik Andersen","2","11:58:00","EV","PNC Arena","A","W",0,0
"2021-11-26","WSH","FLA",36,"Tom Wilson","Aliaksei Protas","Sergei Bobrovsky","2","02:50:00","PP","Capital One Arena","H","W",0,0
"2021-11-26","WSH","FLA",36,"Evgeny Kuznetsov","Tom Wilson","Sergei Bobrovsky","3","04:02:00","EV","Capital One Arena","H","W",0,0
"2021-11-26","WSH","FLA",36,"Aliaksei Protas","Evgeny Kuznetsov","Spencer Knight","2","03:46:00","EV","Capital One Arena","H","W",0,0
"2021-11-21","WSH","SEA",36,"Dmitry Orlov","Tom Wilson","Philipp Grubauer","3","03:09:00","EV","Climate Pledge Arena","A","L",0,0
"2021-11-20","WSH","SJS",36,"John Carlson","T.J. Oshie","Adin Hill","1","13:58:00","PP","SAP Center at San Jose","A","W",0,0
"2021-11-20","WSH","SJS",36,"Nic Dowd",NA,NA,"3","18:56:00","EV","SAP Center at San Jose","A","W",1,0
"2021-11-12","WSH","CBJ",36,"Evgeny Kuznetsov","Tom Wilson","Joonas Korpisalo","1","10:19:00","EV","Nationwide Arena","A","W",0,0
