"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1999-03-29,"NYR","NYI",38,NA,NA,"Wade Flaherty","3",1899-12-31 17:53:00,"EV","Madison Square Garden (IV)","W","H",0,0
1999-02-04,"NYR","VAN",38,"Petr Nedved","Niklas Sundstrom","Garth Snow","2",1899-12-31 16:21:00,"EV","Madison Square Garden (IV)","W","H",0,0
1999-01-10,"NYR","TBL",37,"Brian Leetch","Todd Harvey","Bill Ranford","3",1899-12-31 14:21:00,"PP","Madison Square Garden (IV)","W","H",0,0
1998-12-16,"NYR","NJD",37,"Niklas Sundstrom",NA,"Martin Brodeur","3",1899-12-31 13:35:00,"EV","Continental Airlines Arena","L","A",0,0
1998-12-02,"NYR","NYI",37,"Kevin Stevens",NA,"Tommy Salo","3",1899-12-31 04:10:00,"EV","Nassau Veterans Memorial Coliseum","W","A",0,0
1998-12-01,"NYR","FLA",37,"Petr Nedved","Kevin Stevens","Sean Burke","2",1899-12-31 04:02:00,"PP","Madison Square Garden (IV)","OTW","H",0,0
1998-11-29,"NYR","NSH",37,"Kevin Stevens","John MacLean","Mike Dunham","1",1899-12-31 09:15:00,"EV","Madison Square Garden (IV)","W","H",0,0
1998-11-07,"NYR","TOR",37,"Marc Savard","Mathieu Schneider","Curtis Joseph","3",1899-12-31 19:22:00,"EV","Maple Leaf Gardens","T","A",0,0
1998-10-17,"NYR","PIT",37,"Todd Harvey","Brian Leetch","Peter Skudra","2",1899-12-31 04:50:00,"PP","Pittsburgh Civic Arena","T","A",0,0
1998-04-15,"NYR","NYI",37,"Alex Kovalev","Adam Graves",NA,"3",1899-12-31 19:13:00,"EV","Madison Square Garden (IV)","W","H",1,0
1998-04-07,"NYR","MTL",37,"Niklas Sundstrom",NA,"Jocelyn Thibault","2",1899-12-31 07:34:00,"PP","Madison Square Garden (IV)","L","H",0,0
1998-04-01,"NYR","BOS",37,"Niklas Sundstrom","Alex Kovalev","Byron Dafoe","3",1899-12-31 00:39:00,"EV","Madison Square Garden (IV)","L","H",0,0
1998-03-22,"NYR","PHI",37,"Alex Kovalev",NA,"Sean Burke","2",1899-12-31 19:09:00,"EV","CoreStates Center","OTL","A",0,0
1998-03-22,"NYR","PHI",37,"Brian Leetch","Bruce Driver","Sean Burke","3",1899-12-31 18:18:00,"EV","CoreStates Center","OTL","A",0,0
1998-03-11,"NYR","SJS",37,"Alex Kovalev","Pat LaFontaine","Kelly Hrudey","2",1899-12-31 08:45:00,"PP","Madison Square Garden (IV)","W","H",0,0
1998-03-09,"NYR","NJD",37,"Kevin Stevens",NA,"Martin Brodeur","3",1899-12-31 18:55:00,"EV","Madison Square Garden (IV)","T","H",0,0
1998-03-07,"NYR","NJD",37,"Kevin Stevens",NA,"Martin Brodeur","2",1899-12-31 15:29:00,"PP","Continental Airlines Arena","L","A",0,0
1998-03-04,"NYR","FLA",37,"Brian Leetch","Alex Kovalev","Kevin Weekes","1",1899-12-31 19:18:00,"PP","Miami Arena","W","A",0,0
1998-03-04,"NYR","FLA",37,"Brian Leetch","Pat LaFontaine","Kevin Weekes","3",1899-12-31 06:58:00,"PP","Miami Arena","W","A",0,0
1998-01-24,"NYR","NJD",36,"Pat LaFontaine","Brian Leetch","Martin Brodeur","1",1899-12-31 15:31:00,"PP","Madison Square Garden (IV)","T","H",0,0
1998-01-03,"NYR","WSH",36,"Bruce Driver","Darren Langdon","Olaf Kolzig","2",1899-12-31 04:53:00,"EV","MCI Center","W","A",0,0
1998-01-03,"NYR","WSH",36,"Niklas Sundstrom",NA,"Olaf Kolzig","3",1899-12-31 19:38:00,"EV","MCI Center","W","A",0,0
1997-12-28,"NYR","BOS",36,"Alex Kovalev","Johan Lindbom","Byron Dafoe","1",1899-12-31 14:42:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-12-02,"NYR","WSH",36,"Kevin Stevens","Niklas Sundstrom","Olaf Kolzig","2",1899-12-31 19:53:00,"EV","Madison Square Garden (IV)","OTL","H",0,0
1997-11-28,"NYR","BUF",36,"Niklas Sundstrom",NA,"Dominik Hasek","3",1899-12-31 06:14:00,"EV","Marine Midland Arena","T","A",0,0
1997-11-21,"NYR","CAR",36,"Jeff Finley",NA,"Sean Burke","2",1899-12-31 09:56:00,"EV","Greensboro Coliseum","W","A",0,0
1997-11-07,"NYR","DAL",36,"Bill Berg","Brian Leetch","Ed Belfour","3",1899-12-31 12:52:00,"EV","Reunion Arena","T","A",0,0
1997-11-05,"NYR","COL",36,"Mike Eastwood","Bill Berg",NA,"3",1899-12-31 19:31:00,"EV","McNichols Sports Arena","W","A",1,0
1997-10-24,"NYR","TBL",36,"Niklas Sundstrom","Kevin Stevens","Corey Schwab","3",1899-12-31 09:17:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-10-11,"NYR","VAN",36,"Kevin Stevens","Jeff Beukeboom","Kirk McLean","3",1899-12-31 08:00:00,"EV","General Motors Place","W","A",0,0
1997-10-11,"NYR","VAN",36,"Niklas Sundstrom","Ulf Samuelsson","Kirk McLean","2",1899-12-31 11:34:00,"EV","General Motors Place","W","A",0,0
1997-10-11,"NYR","VAN",36,"Kevin Stevens","Ulf Samuelsson","Kirk McLean","2",1899-12-31 17:30:00,"EV","General Motors Place","W","A",0,0
1997-04-04,"NYR","BUF",36,"Brian Leetch","Niklas Sundstrom","Dominik Hasek","2",1899-12-31 00:42:00,"PP","Marine Midland Arena","L","A",0,0
1997-04-03,"NYR","BOS",36,"Jeff Beukeboom","Brian Leetch","Jim Carey","1",1899-12-31 05:39:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-03-24,"NYR","PIT",36,NA,NA,NA,"3",1899-12-31 19:09:00,"EV","Madison Square Garden (IV)","W","H",1,0
