"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1979-10-10,"Chicago Black Hawks",2,4,0,1,0,"L 1","L","A"
1979-10-13,"Detroit Red Wings",3,3,0,1,1,"T 1","T","H"
1979-10-14,"Vancouver Canucks",4,4,0,1,2,"T 2","T","H"
1979-10-19,"Quebec Nordiques",6,3,1,1,2,"W 1","W","H"
1979-10-21,"Minnesota North Stars",5,5,1,1,3,"T 1","T","H"
1979-10-23,"New York Islanders",3,3,1,1,4,"T 2","T","A"
1979-10-24,"New York Rangers",2,10,1,2,4,"L 1","L","A"
1979-10-26,"Atlanta Flames",3,7,1,3,4,"L 2","L","A"
1979-10-28,"Washington Capitals",4,6,1,4,4,"L 3","L","H"
1979-10-30,"St. Louis Blues",1,2,1,5,4,"L 4","L","A"
1979-11-02,"New York Islanders",7,5,2,5,4,"W 1","W","H"
1979-11-04,"Boston Bruins",1,2,2,6,4,"L 1","L","H"
1979-11-07,"Detroit Red Wings",3,5,2,7,4,"L 2","L","A"
1979-11-08,"Boston Bruins",2,4,2,8,4,"L 3","L","A"
1979-11-11,"Toronto Maple Leafs",3,6,2,9,4,"L 4","L","H"
1979-11-13,"Washington Capitals",5,3,3,9,4,"W 1","W","A"
1979-11-15,"Philadelphia Flyers",3,5,3,10,4,"L 1","L","A"
1979-11-17,"Hartford Whalers",0,4,3,11,4,"L 2","L","A"
1979-11-18,"Buffalo Sabres",7,9,3,12,4,"L 3","L","A"
1979-11-21,"Toronto Maple Leafs",4,4,3,12,5,"T 1","T","A"
1979-11-24,"Philadelphia Flyers",2,2,3,12,6,"T 2","T","H"
1979-11-28,"Chicago Black Hawks",4,2,4,12,6,"W 1","W","H"
1979-11-30,"New York Islanders",5,3,5,12,6,"W 2","W","H"
1979-12-05,"Minnesota North Stars",1,6,5,13,6,"L 1","L","A"
1979-12-07,"Winnipeg Jets",3,8,5,14,6,"L 2","L","A"
1979-12-09,"Hartford Whalers",3,0,6,14,6,"W 1","W","H"
1979-12-12,"Atlanta Flames",5,5,6,14,7,"T 1","T","H"
1979-12-14,"Montreal Canadiens",5,3,7,14,7,"W 1","W","H"
1979-12-16,"Winnipeg Jets",3,4,7,15,7,"L 1","L","H"
1979-12-19,"Detroit Red Wings",4,6,7,16,7,"L 2","L","H"
1979-12-21,"Colorado Rockies",4,5,7,17,7,"L 3","L","A"
1979-12-22,"Los Angeles Kings",3,9,7,18,7,"L 4","L","A"
1979-12-26,"Colorado Rockies",4,3,8,18,7,"W 1","W","H"
1979-12-28,"Vancouver Canucks",5,3,9,18,7,"W 2","W","A"
1979-12-30,"Quebec Nordiques",1,2,9,19,7,"L 1","L","H"
1980-01-02,"Hartford Whalers",3,3,9,19,8,"T 1","T","H"
1980-01-05,"Los Angeles Kings",3,3,9,19,9,"T 2","T","H"
1980-01-07,"Montreal Canadiens",3,4,9,20,9,"L 1","L","A"
1980-01-09,"Quebec Nordiques",2,3,9,21,9,"L 2","L","A"
1980-01-11,"New York Rangers",2,6,9,22,9,"L 3","L","H"
1980-01-13,"Buffalo Sabres",6,5,10,22,9,"W 1","W","H"
1980-01-16,"Washington Capitals",5,2,11,22,9,"W 2","W","A"
1980-01-17,"Boston Bruins",1,7,11,23,9,"L 1","L","A"
1980-01-19,"Pittsburgh Penguins",5,2,12,23,9,"W 1","W","A"
1980-01-20,"Buffalo Sabres",4,4,12,23,10,"T 1","T","A"
1980-01-23,"Pittsburgh Penguins",4,3,13,23,10,"W 1","W","H"
1980-01-26,"Toronto Maple Leafs",8,3,14,23,10,"W 2","W","H"
1980-01-27,"Philadelphia Flyers",3,5,14,24,10,"L 1","L","H"
1980-01-29,"St. Louis Blues",2,3,14,25,10,"L 2","L","A"
1980-01-30,"Los Angeles Kings",8,1,15,25,10,"W 1","W","A"
